year,Costa Rica,Dominican Republic,El Salvador,Guatemala,Honduras,Nicaragua,United States
1980,17.12395507,99.55596957,72.56623884,56.38188158,60.10376586,70.10684904,28.84779
1981,17.23336239,122.964343,59.79434061,45.4852352,55.12452628,79.06798014,30.52943
1982,14.87939552,79.46385137,52.49568416,41.54325568,47.78881619,63.09351936,27.68092
1983,14.91700429,81.2689541,55.1887713,42.98857397,48.68010116,66.71064259,26.29931
1984,17.20430108,89.84940227,53.84072656,41.86451996,52.56045158,59.99912878,28.64445
1985,16.68461631,76.09377426,50.96449749,39.21204927,56.52413353,46.90592057,27.9844
1986,19.15482845,74.27521606,56.66141259,38.72236237,61.89720513,38.45352036,29.05139
1987,19.80101544,73.61693319,44.35487503,36.62757828,57.34657942,42.44091254,32.49984
1988,21.29510915,92.08715003,45.69241162,37.90250779,61.00592016,36.20234732,41.23541
1989,24.18243671,95.6776898,37.34143962,41.10327942,62.20879256,48.33721234,46.52817
1990,24.75682514,76.02753196,43.6463259,43.14327051,60.21608226,51.43315867,50.33678
1991,27.31251175,68.13848781,44.13420401,44.59823416,57.41904162,42.37868246,53.93534
1992,31.46828042,58.21042281,44.84725662,48.05201068,58.07844757,34.70882547,57.31594
1993,44.88264355,52.89447808,54.91923741,49.72622051,58.98422498,41.53857642,59.44018
1994,49.20252321,66.65942141,63.34158973,56.4438344,61.01316638,52.06246033,65.56022
1995,59.42,65.88,56.14,73.43,52.9,72.49,74.78319
1996,64.25,70.65,60.77,75.84,60.04,72.55,79.94096
1997,74.1,80.42,82.86,88.17,72.97,89.72,88.14
1998,94.46,86.82,83.62,94.52,87.6,89.17,87.23911
1999,113.89,89.54,86.16,91.97,83.05,84.96,88.98598
2000,100,100,100,100,100,100,100
2001,85.84,91.97,97.36,90.87,102.37,91.69,93.24515
2002,89.98,90.03,101.83,153.51,112.01,87.28,88.64142
2003,104.32,95.36,106.35,164.48,112.28,94.05,92.69144
2004,107.72,103.47,112.35,185.76,135.61,117.55,104.681
2005,120.11,107.11,116.21,198.47,150.98,133.46,116.0171
2006,140.44,115.23,125.98,221.78,157.82,159.84,132.7853
2007,160.28,124.81,135.45,254.42,172.99,185.72,148.7343
2008,163.68,121.13,154.66,285.39,193.14,231.6,166.3996
2009,148.91,95.23,129.1,266.72,119.56,216.71,135.1481
